card,label_en,conditions,mean_occurrence,min_occurrence,max_occurrence,mean_vp_lift,min_vp_lift,max_vp_lift,lift_estimable,positive_lift_cases,mean_enrichment,min_enrichment,max_enrichment,enriched_cases,playable_opportunities,selected,times_played,round_weight,positive_lift_share,enriched_share,selection_rate,mean_round
thermal_flexibility,Thermal flexibility,20,0.17789206489945442,0.007850625928283471,0.5145243735195113,279.1920707894644,223.86609592874424,389.59073359073363,20,20,3.931437282922731,1.9047686091289826,8.65415734205543,20,90446,29276,29276,73080.0,1.0,1.0,0.3236848506291047,2.49624265610056
shower_water_heat_recovery,Heat recovery from shower water,20,0.06782196172364999,0.00668364099299809,0.1635706271038524,276.808935351688,189.77715523196,427.920584061885,20,20,4.816318625707756,2.3572770700636942,9.529875644525326,20,83813,11229,11229,34790.0,1.0,1.0,0.13397682937014543,3.0982278030100634
efficient_appliances,Efficient appliances,20,0.06944965194121817,0.0060471037555697,0.15983044508166064,265.71993529426356,186.5468679646429,371.60842307497853,20,20,4.105881182596235,2.2234994713418086,7.724214996088948,20,83466,11503,11503,35701.0,1.0,1.0,0.13781659597920112,3.1036251412674956
wastewater_heat_pump,Wastewater heat pumps,20,0.054047215066872614,0.03532781667727562,0.06344663088849135,207.7277350512539,138.5501550620543,318.1330089574893,20,20,3.238385956070527,2.129960817384329,5.223932557011159,20,117283,9215,9215,19248.0,1.0,1.0,0.07857063683568803,2.088768312533912
groundwater_heat_pump,Groundwater heat pump,20,0.07770847542093282,0.036282622533418206,0.10347836928063832,204.1853500558363,117.15928930574194,321.3693442103718,20,20,3.3183197493487278,2.1776759765528793,5.141870383218381,20,157899,13162,13162,28333.0,1.0,1.0,0.08335708269210064,2.1526363774502357
decentralized_air_source_heat_pump,Decentralized air source heat pump,20,0.12995098421759926,0.047103755569700825,0.20116944513560586,200.91247921954798,103.85004901266475,340.5816332364429,20,20,2.263490749223524,1.3516874274326585,5.724364491880416,20,196971,21867,21867,46946.0,1.0,1.0,0.11101634250727264,2.146888004756025
geothermal_heat_pump,Geothermal heat pump,20,0.07861137173594028,0.0368130702312752,0.10572356910772307,191.97765820608407,115.25566701949262,326.7817232216855,20,20,2.5471608989318235,1.6028569824876515,5.53666550413921,20,158463,13314,13314,28632.0,1.0,1.0,0.08401961341133261,2.1505182514646237
central_air_source_heat_pump,Central air source heat pump,20,0.07779985486774374,0.03766178654784638,0.10223164193990775,191.08620286417414,108.2910163222588,323.4927934712231,20,20,1.9883773929250375,1.343432156240038,4.679034717861308,20,157636,13176,13176,28515.0,1.0,1.0,0.08358496790073333,2.1641621129326047
biomass_boiler,Biomass boiler,20,0.12903145896351303,0.044769785699130066,0.20571001122054608,117.43211811449456,14.988303534481531,257.07347761184604,20,20,0.09824156224437162,0.03040957627302197,0.28454131071331545,0,197219,21697,21697,46411.0,1.0,0.0,0.11001475517064786,2.1390514817716735
insulation_passivehouse_eco,Passivehouse renovation ecological,20,0.0394097678114577,0.029048747039022566,0.047033544228244004,115.06249596850537,80.3314652000542,174.74684378087602,20,20,1.4115268314230929,0.8207116879985532,2.105782975958414,19,91709,6769,6769,14039.0,1.0,0.95,0.07380954977156004,2.0740138868370512
